Name,Bin_Name,Percent_Below_Cutoff,Tree_Groups,Completeness,Year,Percent_Indels_plus_SNPs
G11_09,0kb+,NA,oligotrophic,98.57,2011,NA
G13_01,0kb+,NA,oligotrophic,98.79,2013,NA
G13_03,0kb+,NA,oligotrophic,98.57,2013,NA
G13_05,0kb+,NA,oligotrophic,99.01,2013,NA
G13_07,0kb+,NA,oligotrophic,98.79,2013,NA
G13_09,0kb+,NA,oligotrophic,99.89,2013,NA
G13_10,0kb+,NA,oligotrophic,98.36,2013,NA
G13_11,0kb+,NA,oligotrophic,99.01,2013,NA
G13_12,0kb+,NA,oligotrophic,98.79,2013,NA
K13_05,0kb+,NA,nutrient.rich,99.23,2013,NA
K13_06,0kb+,NA,nutrient.rich,99.89,2013,NA
K13_07,0kb+,NA,pseudo-oligotrophic,99.67,2013,NA
K13_10,0kb+,NA,nutrient.rich,99.67,2013,NA
L111_01,0kb+,NA,pseudo-oligotrophic,99.01,2011,NA
L211_07,0kb+,NA,nutrient.rich,99.89,2011,NA
L211_101,0kb+,NA,nutrient.rich,99.89,2011,NA
L211_11,0kb+,NA,nutrient.rich,99.89,2011,NA
L311_01,0kb+,NA,nutrient.rich,99.89,2011,NA
LE13_04,0kb+,NA,oligotrophic,99.67,2013,NA
LG11_05,0kb+,NA,nutrient.rich,99.38,2011,NA
LG13_03,0kb+,NA,nutrient.rich,99.45,2013,NA
LG13_11,0kb+,NA,nutrient.rich,99.67,2013,NA
LG13_12,0kb+,NA,nutrient.rich,99.45,2013,NA
LG13_13,0kb+,NA,nutrient.rich,99.45,2013,NA
LL11_07,0kb+,NA,oligotrophic,99.23,2011,NA
LL13_03,0kb+,NA,oligotrophic,98.79,2013,NA
LL13_06,0kb+,NA,oligotrophic,98.72,2013,NA
S11_01,0kb+,NA,pseudo-oligotrophic,99.23,2011,NA
S11_05,0kb+,NA,pseudo-oligotrophic,99.01,2011,NA
SX13_01,0kb+,NA,oligotrophic,96.71,2013,NA
SX13_11,0kb+,NA,oligotrophic,99.23,2013,NA
W11_03,0kb+,NA,nutrient.rich,99.89,2011,NA
W11_06,0kb+,NA,nutrient.rich,99.89,2011,NA
W13_11,0kb+,NA,nutrient.rich,99.89,2013,NA
W13_13,0kb+,NA,pseudo-oligotrophic,99.45,2013,NA
W13_15,0kb+,NA,pseudo-oligotrophic,99.45,2013,NA
W13_16,0kb+,NA,pseudo-oligotrophic,99.23,2013,NA
W13_18,0kb+,NA,pseudo-oligotrophic,99.45,2013,NA
