Name,Bin_Name,Percent_Below_Cutoff,Nif in Phycosphere,Tree_Groups,Nif,Tree_Groups,Completeness,Tree_Groups,Lake,Date,Year,Coding_Density,Genome_Size,Contamination,Strain_heterogeneity,Contamination_from_heterogeneity,Other_Contamination,Mean_Scaffold_Length,#_Scaffolds,Predicted_#_Genes,GC,Coverage_Mean,Contamination,Strain_heterogeneity,indels,SNPs,Percent_SNPs,Indels_plus_SNPs,Percent_Indels_plus_SNPs,Paralog_%,Sigma_factors,Sigma_factors_percentage
G13_03,2kb+,11.28107075,nifA,oligotrophic,Yes,oligotrophic,96.37,oligotrophic,Gull, 2013-08-08,2013,81.31944786,4.954436,0.48,50,0.24,0.24,7296.665685,679,5081,42.57134004,124.032,0.48,50,354,21623,0.436437165,21977,0.443582277,35.22408964,14,0.275536312
G13_05,2kb+,13.73025516,nifA,oligotrophic,Yes,oligotrophic,98.79,oligotrophic,Gull, 2013-08-08,2013,81.53878949,5.024183,0.15,0,0,0.15,8737.709565,575,5111,42.52857524,86.6165,0.15,0,164,13764,0.273954989,13928,0.277219202,34.93607059,14,0.273918998
G13_07,2kb+,1.085481682,none,oligotrophic,No,oligotrophic,97.04,oligotrophic,Gull, 2013-08-08,2013,81.09933068,4.956052,0.07,0,0,0.07,8385.874788,591,5005,42.52742219,154.324,0.07,0,86,4486,0.090515596,4572,0.092250848,34.88197827,12,0.23976024
G13_09,2kb+,2.339181287,nifA,oligotrophic,Yes,oligotrophic,97.92,oligotrophic,Gull, 2013-08-08,2013,81.29724881,4.820756,0.07,0,0,0.07,8562.62167,563,4839,42.44464802,64.795,0.07,0,125,7636,0.158398392,7761,0.160991347,33.984375,14,0.289315974
G13_10,2kb+,18.74334398,none,oligotrophic,No,oligotrophic,97.48,oligotrophic,Gull, 2013-08-08,2013,81.19746646,5.020483,0.51,33.33,0.169983,0.340017,8190.021207,613,5050,42.52869946,196.258,0.51,33.33,139,4717,0.093955104,4856,0.096723761,35.45745817,15,0.297029703
G13_11,2kb+,0,nifA,oligotrophic,Yes,oligotrophic,97.48,oligotrophic,Gull, 2013-08-08,2013,81.29516795,4.90392,0.07,0,0,0.07,8269.679595,593,4902,42.50536948,120.658,0.07,0,99,5103,0.104059609,5202,0.106078403,34.14164742,13,0.265197878
G13_12,2kb+,1.506373117,nifA,oligotrophic,Yes,oligotrophic,96.05,oligotrophic,Gull, 2013-08-08,2013,81.49369761,4.943678,0.37,33.33,0.123321,0.246679,7227.599415,684,4894,42.54545881,147.553,0.37,33.33,125,5780,0.116917,5905,0.119445482,34.62337172,14,0.286064569
K13_05,2kb+,20.10398614,"nifA,nifB,nifE,nifH,nifN,nifT,nifV,nifX,nifZ,,nifQ",nutrient.rich,Yes,nutrient.rich,98.46,nutrient.rich,Kent, 2013-08-15,2013,80.01006567,5.289267,0.4,0,0,0.4,11473.46421,461,5142,42.83426027,87.6508,0.4,0,171,6452,0.121982876,6623,0.125215838,34.42240373,13,0.252819914
K13_06,2kb+,0.258397933,"nifA,nifB,nifE,nifH,nifN,nifT,nifV,nifX,nifZ,,nifQ",nutrient.rich,Yes,nutrient.rich,99.89,nutrient.rich,Kent, 2013-08-15,2013,80.42691082,4.965721,0.29,0,0,0.29,14867.42814,334,4874,42.95185603,143.3,0.29,0,74,2975,0.059910736,3049,0.061400953,34.42492013,15,0.307755437
K13_07,2kb+,2.514792899,nifA,pseudo-oligotrophic,Yes,pseudo-oligotrophic,99.23,pseudo-oligotrophic,Kent, 2013-08-15,2013,80.99527273,4.925464,0.51,0,0,0.51,8779.793226,561,4834,42.53136866,118.424,0.51,0,68,4671,0.094833705,4739,0.096214286,34.92501973,14,0.289615225
K13_10,2kb+,1.851851852,none,nutrient.rich,No,nutrient.rich,98.03,nutrient.rich,Kent, 2013-08-15,2013,80.1344854,5.263025,0.18,50,0.09,0.09,11934.29705,441,5130,42.85539481,138.724,0.18,50,106,4867,0.092475335,4973,0.094489386,35.17344275,13,0.253411306
L111_01,2kb+,0.154559505,"nifA,nifB,nifE,nifH,nifN,nifT,nifV,nifX,nifZ,nifQ",pseudo-oligotrophic,Yes,pseudo-oligotrophic,99.89,pseudo-oligotrophic,MSU1, 2011-08-19,2011,81.56674522,4.942833,0.48,0,0,0.48,9069.418349,545,4939,42.56637252,89.8278,0.48,0,108,4030,0.08153219,4138,0.083717172,34.23597679,14,0.28345819
L211_07,2kb+,4.966887417,nifA,nutrient.rich,Yes,nutrient.rich,99.23,nutrient.rich,MSU2, 2011-08-16,2011,82.11199147,4.897605,0.51,0,0,0.51,20578.17227,238,4686,42.71395774,131.747,0.51,0,94,2829,0.057762927,2923,0.059682232,34.42419221,12,0.256081946
L211_101,2kb+,0.468384075,"nifA,nifB,nifD,nifE,nifH,nifK,nifN,nifV,nifQ",nutrient.rich,Yes,nutrient.rich,99.45,nutrient.rich,MSU2, 2011-08-16,2011,81.37869525,5.048846,0.51,25,0.1275,0.3825,14262.27684,354,4990,42.71214829,106.812,0.51,25,80,3563,0.070570582,3643,0.072155102,34.9525837,14,0.280561122
L211_11,2kb+,0.238663484,none,nutrient.rich,No,nutrient.rich,99.45,nutrient.rich,MSU2, 2011-08-16,2011,81.3489931,5.046564,0.51,25,0.1275,0.3825,14713.01458,343,4983,42.70828483,94.9347,0.51,25,81,3902,0.077319935,3983,0.078924987,34.8549323,14,0.280955248
L311_01,2kb+,0,none,nutrient.rich,No,nutrient.rich,99.89,nutrient.rich,MSU3, 2011-08-06,2011,82.21483145,4.733832,0.29,0,0,0.29,19561.28926,242,4635,42.73201178,97.9646,0.29,0,61,1859,0.039270511,1920,0.040559107,34.49726546,10,0.21574973
LE13_04,2kb+,0,none,oligotrophic,No,oligotrophic,99.23,oligotrophic,Lee, 2013-08-06,2013,81.60707375,4.950588,0.62,20,0.124,0.496,8808.875445,562,4932,42.44832583,74.5713,0.62,20,82,5586,0.112835081,5668,0.11449145,34.98069498,15,0.304136253
LG11_05,2kb+,0,none,nutrient.rich,No,nutrient.rich,98.36,nutrient.rich,Lansing, 2011-08-05,2011,80.74906651,5.01077,0.22,0,0,0.22,17278.51724,290,4971,42.7352951,74.0924,0.22,0,90,2740,0.054682215,2830,0.056478346,34.74692202,11,0.221283444
LG13_03,2kb+,0.265251989,nifA,nutrient.rich,Yes,nutrient.rich,99.38,nutrient.rich,Lansing, 2013-08-14,2013,81.05189421,5.010675,0.29,50,0.145,0.145,16008.54633,313,4980,42.73767022,110.081,0.29,50,72,3048,0.060830128,3120,0.06226706,35.08840101,11,0.220883534
LG13_11,2kb+,23.3937397,none,nutrient.rich,No,nutrient.rich,99.45,nutrient.rich,Lansing, 2013-08-14,2013,80.66674017,5.052133,0.29,50,0.145,0.145,12888.09439,392,5094,42.71259484,61.9665,0.29,50,76,4589,0.090832921,4665,0.092337237,34.78593272,16,0.314095014
LG13_12,2kb+,1.146788991,none,nutrient.rich,No,nutrient.rich,99.23,nutrient.rich,Lansing, 2013-08-14,2013,80.39418018,4.919121,0.58,50,0.29,0.29,14014.58974,351,4954,42.66441499,124.427,0.58,50,77,3727,0.075765569,3804,0.077330889,35.94022899,13,0.262414211
LG13_13,2kb+,0,none,nutrient.rich,No,nutrient.rich,99.45,nutrient.rich,Lansing, 2013-08-14,2013,80.99147569,4.983864,0.37,66.67,0.246679,0.123321,15821.79048,315,4956,42.72826598,102.174,0.37,66.67,98,2889,0.057967071,2987,0.059933417,35.13145083,11,0.221953188
LL11_07,2kb+,0,nifA,oligotrophic,Yes,oligotrophic,96.16,oligotrophic,LittleLong, 2011-07-12,2011,81.6630898,4.980621,0.69,20,0.138,0.552,7534.97882,661,4956,42.42019218,98.932,0.69,20,89,5959,0.119643715,6048,0.121430641,34.4046071,13,0.262308313
LL13_03,2kb+,11.79435484,none,oligotrophic,No,oligotrophic,96.16,oligotrophic,LittleLong, 2013-08-08,2013,81.27383253,4.951216,0.91,16.67,0.151697,0.758303,7412,668,5062,42.484464,125.832,0.91,16.67,193,12158,0.245555839,12351,0.249453872,35.22079772,12,0.23706045
LL13_06,2kb+,0.470219436,none,oligotrophic,No,oligotrophic,96.64,oligotrophic,LittleLong, 2013-08-08,2013,81.70058407,4.736949,0.18,50,0.09,0.09,8954.534972,529,4729,42.4084981,90.7348,0.18,50,48,5012,0.105806501,5060,0.106819812,33.4469621,15,0.317191795
S11_01,2kb+,0,none,pseudo-oligotrophic,No,pseudo-oligotrophic,98.79,pseudo-oligotrophic,Sherman, 2011-08-08,2011,81.7986726,4.865766,0.51,0,0,0.51,8977.428044,542,4775,42.53034136,107.063,0.51,0,77,3747,0.077007402,3824,0.078589887,33.15550287,14,0.293193717
S11_05,2kb+,0.151975684,none,pseudo-oligotrophic,No,pseudo-oligotrophic,98.57,pseudo-oligotrophic,Sherman, 2011-08-08,2011,81.72119173,4.862259,0.73,25,0.1825,0.5475,8954.436464,543,4765,42.52278684,87.4378,0.73,25,77,3838,0.078934503,3915,0.08051813,33.06867805,14,0.293809024
SX13_01,2kb+,23.69976359,"nifA,nifB,NifE,nifH,nifZ,",oligotrophic,Yes,oligotrophic,92.43,oligotrophic,Sixteen, 2013-08-07,2013,81.38533772,4.971452,1.61,77.78,1.252258,0.357742,6077.569682,818,5205,42.49143304,101.538,1.61,77.78,577,46652,0.938397877,47229,0.950004144,41.02411432,14,0.268972142
SX13_11,2kb+,0.697674419,none,oligotrophic,No,oligotrophic,95.83,oligotrophic,Sixteen, 2013-08-07,2013,81.42744903,4.910424,0.37,33.33,0.123321,0.246679,7242.513274,678,4881,42.48773629,106.39,0.37,33.33,87,5428,0.110540353,5515,0.112312094,33.91107762,14,0.28682647
W11_03,2kb+,0,none,nutrient.rich,No,nutrient.rich,99.45,nutrient.rich,Wintergreen, 2011-08-02,2011,81.9519768,4.450432,0.29,0,0,0.29,19100.56652,233,4376,42.85087039,82.4467,0.29,0,35,2599,0.058398825,2634,0.059185266,34.86073675,14,0.319926874
W11_06,2kb+,1.503759398,none,nutrient.rich,No,nutrient.rich,99.67,nutrient.rich,Wintergreen, 2011-08-02,2011,82.01045494,4.451102,0.37,33.33,0.123321,0.246679,20511.99078,217,4385,42.85846838,95.5242,0.37,33.33,39,2531,0.056862323,2570,0.057738511,35.31772575,13,0.296465222
W13_11,2kb+,0.680272109,nifA,nutrient.rich,Yes,nutrient.rich,99.89,nutrient.rich,Wintergreen, 2013-08-08,2013,81.01864353,4.829128,0.73,25,0.1825,0.5475,19239.55378,251,5003,42.38714479,107.299,0.73,25,38,2483,0.05141715,2521,0.052204042,35.31714957,14,0.279832101
W13_13,2kb+,1.098901099,nifA,pseudo-oligotrophic,Yes,pseudo-oligotrophic,98.25,pseudo-oligotrophic,Wintergreen, 2013-08-08,2013,81.71221659,4.881018,0.07,0,0,0.07,9140.483146,534,4904,42.51753163,115.233,0.07,0,59,4239,0.086846637,4298,0.088055402,34.91135788,14,0.28548124
W13_15,2kb+,0,nifA,pseudo-oligotrophic,Yes,pseudo-oligotrophic,98.46,pseudo-oligotrophic,Wintergreen, 2013-08-08,2013,81.4833133,5.022324,0.07,0,0,0.07,8734.476522,575,5060,42.29193864,45.9547,0.07,0,96,6457,0.128565979,6553,0.130477444,35.08509445,15,0.296442688
W13_16,2kb+,0.149925037,nifA,pseudo-oligotrophic,Yes,pseudo-oligotrophic,98.68,pseudo-oligotrophic,Wintergreen, 2013-08-08,2013,81.39923631,4.93655,0.07,0,0,0.07,8799.554367,561,4958,42.41711399,64.9713,0.07,0,96,5719,0.115850138,5815,0.117794816,34.87748851,14,0.282371924
W13_18,2kb+,4.626865672,nifA,pseudo-oligotrophic,Yes,pseudo-oligotrophic,99.01,pseudo-oligotrophic,Wintergreen, 2013-08-08,2013,81.6229603,4.89593,0.51,0,0,0.51,9255.066163,529,4856,42.52068673,84.0986,0.51,0,113,8210,0.167690306,8323,0.169998346,33.18437925,14,0.28830313
BK11_02,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.45,pseudo-oligotrophic,Baker, 2011-08-08,2011,80.8614649,4.923799,0.29,0,0,0.29,7167.101892,687,4974,42.65289385,NA,0.29,0,NA,NA,NA,NA,NA,,,
BS11_05,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.23,pseudo-oligotrophic,Baseline, 2011-08-08,2011,81.34044953,4.924915,0.07,0,0,0.07,8404.291809,586,4949,42.50964436,NA,0.07,0,NA,NA,NA,NA,NA,,,
BS13_02,0kb+,NA,,nutrient.rich,,nutrient.rich,99.67,nutrient.rich,Baseline, 2013-08-09,2013,81.12022652,4.624404,0.37,33.33,0.123321,0.246679,18497.616,250,4487,42.34725002,NA,0.37,33.33,NA,NA,NA,NA,NA,,,
BS13_10,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.89,pseudo-oligotrophic,Baseline, 2013-08-09,2013,81.31448909,5.179655,0.15,0,0,0.15,9434.708561,549,5241,42.42866525,NA,0.15,0,NA,NA,NA,NA,NA,,,
F13_15,0kb+,NA,,nutrient.rich,,nutrient.rich,99.89,nutrient.rich,Ford, 2013-08-15,2013,81.47864743,5.435224,0.69,16.67,0.115023,0.574977,12186.6009,446,5332,42.68542509,NA,0.69,16.67,NA,NA,NA,NA,NA,,,
G11_01,0kb+,NA,,oligotrophic,,oligotrophic,98.57,oligotrophic,Gull, 2011-07-05,2011,81.24154086,5.239892,0.51,33.33,0.169983,0.340017,7129.104762,735,5292,42.46858183,NA,0.51,33.33,NA,NA,NA,NA,NA,,,
G11_04,0kb+,NA,,oligotrophic,,oligotrophic,98.79,oligotrophic,Gull, 2011-07-05,2011,81.18071958,5.001323,0.15,0,0,0.15,7888.522082,634,5030,42.50900859,NA,0.15,0,NA,NA,NA,NA,NA,,,
G11_06,0kb+,NA,,oligotrophic,,oligotrophic,99.23,oligotrophic,Gull, 2011-07-05,2011,81.01542073,5.135684,1.21,50,0.605,0.605,6049.097762,849,5426,42.4328281,NA,1.21,50,NA,NA,NA,NA,NA,,,
G11_09,0kb+,NA,,oligotrophic,,oligotrophic,98.57,oligotrophic,Gull, 2011-07-05,2011,81.0782183,5.067842,0.37,25,0.0925,0.2775,7586.58982,668,5241,42.45302906,NA,0.37,25,NA,NA,NA,NA,NA,,,
G13_01,0kb+,NA,,oligotrophic,,oligotrophic,98.79,oligotrophic,Gull, 2013-08-08,2013,81.51160977,5.071891,0.29,50,0.145,0.145,6629.922876,765,5091,42.49615045,NA,0.29,50,NA,NA,NA,NA,NA,,,
G13_03,0kb+,NA,,oligotrophic,,oligotrophic,98.57,oligotrophic,Gull, 2013-08-08,2013,81.28605901,5.124586,0.48,50,0.24,0.24,6389.758105,802,5342,42.55112322,NA,0.48,50,NA,NA,NA,NA,NA,,,
G13_05,0kb+,NA,,oligotrophic,,oligotrophic,99.01,oligotrophic,Gull, 2013-08-08,2013,81.58773153,5.110272,0.07,0,0,0.07,7935.204969,644,5244,42.52641418,NA,0.07,0,NA,NA,NA,NA,NA,,,
G13_07,0kb+,NA,,oligotrophic,,oligotrophic,98.79,oligotrophic,Gull, 2013-08-08,2013,81.28263558,5.115966,0.07,0,0,0.07,7425.204644,689,5193,42.53073874,NA,0.07,0,NA,NA,NA,NA,NA,,,
G13_09,0kb+,NA,,oligotrophic,,oligotrophic,99.89,oligotrophic,Gull, 2013-08-08,2013,81.15548987,5.017716,0.15,0,0,0.15,7444.682493,674,5070,42.51710035,NA,0.15,0,NA,NA,NA,NA,NA,,,
G13_10,0kb+,NA,,oligotrophic,,oligotrophic,98.36,oligotrophic,Gull, 2013-08-08,2013,81.0461438,5.08649,0.95,60,0.57,0.38,7436.388889,684,5212,42.52968183,NA,0.95,60,NA,NA,NA,NA,NA,,,
G13_11,0kb+,NA,,oligotrophic,,oligotrophic,99.01,oligotrophic,Gull, 2013-08-08,2013,81.32845457,5.074513,0.07,0,0,0.07,6556.218346,774,5065,42.559877,NA,0.07,0,NA,NA,NA,NA,NA,,,
G13_12,0kb+,NA,,oligotrophic,,oligotrophic,98.79,oligotrophic,Gull, 2013-08-08,2013,81.23312035,4.912351,0.37,33.33,0.123321,0.246679,7699.609718,638,5002,42.44221946,NA,0.37,33.33,NA,NA,NA,NA,NA,,,
K13_05,0kb+,NA,,nutrient.rich,,nutrient.rich,99.23,nutrient.rich,Kent, 2013-08-15,2013,80.00872272,5.273585,0.51,0,0,0.51,11564.87939,456,5125,42.82476491,NA,0.51,0,NA,NA,NA,NA,NA,,,
K13_06,0kb+,NA,,nutrient.rich,,nutrient.rich,99.89,nutrient.rich,Kent, 2013-08-15,2013,80.45028899,4.98813,0.29,0,0,0.29,14130.67989,353,4909,42.93840233,NA,0.29,0,NA,NA,NA,NA,NA,,,
K13_07,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.67,pseudo-oligotrophic,Kent, 2013-08-15,2013,81.10726517,4.981878,0.4,0,0,0.4,8100.614634,615,4938,42.54028879,NA,0.4,0,NA,NA,NA,NA,NA,,,
K13_10,0kb+,NA,,nutrient.rich,,nutrient.rich,99.67,nutrient.rich,Kent, 2013-08-15,2013,80.07119695,5.31343,0.51,0,0,0.51,11046.63202,481,5219,42.84897216,NA,0.51,0,NA,NA,NA,NA,NA,,,
L111_01,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.01,pseudo-oligotrophic,MSU1, 2011-08-19,2011,81.49315013,5.012798,0.18,50,0.09,0.09,8424.870588,595,5039,42.57782705,NA,0.18,50,NA,NA,NA,NA,NA,,,
L211_07,0kb+,NA,,nutrient.rich,,nutrient.rich,99.89,nutrient.rich,MSU2, 2011-08-16,2011,81.31143681,5.104737,0.48,0,0,0.48,12956.18528,394,5066,42.70029129,NA,0.48,0,NA,NA,NA,NA,NA,,,
L211_101,0kb+,NA,,nutrient.rich,,nutrient.rich,99.89,nutrient.rich,MSU2, 2011-08-16,2011,81.25436069,5.115307,0.51,25,0.1275,0.3825,13049.25255,392,5084,42.69357572,NA,0.51,25,NA,NA,NA,NA,NA,,,
L211_11,0kb+,NA,,nutrient.rich,,nutrient.rich,99.89,nutrient.rich,MSU2, 2011-08-16,2011,82.11248835,4.934342,0.51,25,0.1275,0.3825,18411.72388,268,4747,42.68650038,NA,0.51,25,NA,NA,NA,NA,NA,,,
L311_01,0kb+,NA,,nutrient.rich,,nutrient.rich,99.89,nutrient.rich,MSU3, 2011-08-06,2011,82.05064487,4.768617,0.29,0,0,0.29,17340.42545,275,4713,42.70319115,NA,0.29,0,NA,NA,NA,NA,NA,,,
LE13_04,0kb+,NA,,oligotrophic,,oligotrophic,99.67,oligotrophic,Lee, 2013-08-06,2013,81.44456042,5.037574,0.22,0,0,0.22,7983.477021,631,5080,42.46835428,NA,0.22,0,NA,NA,NA,NA,NA,,,
LG11_05,0kb+,NA,,nutrient.rich,,nutrient.rich,99.38,nutrient.rich,Lansing, 2011-08-05,2011,80.65926152,5.059631,0.29,50,0.145,0.145,15520.34049,326,5046,42.73394009,NA,0.29,50,NA,NA,NA,NA,NA,,,
LG13_03,0kb+,NA,,nutrient.rich,,nutrient.rich,99.45,nutrient.rich,Lansing, 2013-08-14,2013,81.03608618,5.040932,0.29,50,0.145,0.145,14958.25519,337,5022,42.74490852,NA,0.29,50,NA,NA,NA,NA,NA,,,
LG13_11,0kb+,NA,,nutrient.rich,,nutrient.rich,99.67,nutrient.rich,Lansing, 2013-08-14,2013,80.83662241,5.07995,0.62,20,0.124,0.496,11924.76526,426,5155,42.70711507,NA,0.62,20,NA,NA,NA,NA,NA,,,
LG13_12,0kb+,NA,,nutrient.rich,,nutrient.rich,99.45,nutrient.rich,Lansing, 2013-08-14,2013,80.30175051,4.98425,0.58,50,0.29,0.29,12586.4899,396,5051,42.63158845,NA,0.58,50,NA,NA,NA,NA,NA,,,
LG13_13,0kb+,NA,,nutrient.rich,,nutrient.rich,99.45,nutrient.rich,Lansing, 2013-08-14,2013,80.87561387,5.048915,0.37,66.67,0.246679,0.123321,13908.85675,363,5063,42.71166492,NA,0.37,66.67,NA,NA,NA,NA,NA,,,
LL11_07,0kb+,NA,,oligotrophic,,oligotrophic,99.23,oligotrophic,LittleLong, 2011-07-12,2011,81.32612612,5.150581,0.69,20,0.138,0.552,6611.785623,779,5203,42.42177727,NA,0.69,20,NA,NA,NA,NA,NA,,,
LL13_03,0kb+,NA,,oligotrophic,,oligotrophic,98.79,oligotrophic,LittleLong, 2013-08-08,2013,81.03612988,5.133314,0.91,16.67,0.151697,0.758303,6408.63171,801,5350,42.45651933,NA,0.91,16.67,NA,NA,NA,NA,NA,,,
LL13_06,0kb+,NA,,oligotrophic,,oligotrophic,98.72,oligotrophic,LittleLong, 2013-08-08,2013,81.70282113,4.822503,0.29,75,0.2175,0.0725,8118.691919,594,4866,42.39943282,NA,0.29,75,NA,NA,NA,NA,NA,,,
S11_01,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.23,pseudo-oligotrophic,Sherman, 2011-08-08,2011,81.5973326,4.979827,0.51,0,0,0.51,8044.954766,619,4949,42.52371734,NA,0.51,0,NA,NA,NA,NA,NA,,,
S11_05,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.01,pseudo-oligotrophic,Sherman, 2011-08-08,2011,81.4754274,4.975521,0.73,25,0.1825,0.5475,7999.229904,622,4937,42.51596412,NA,0.73,25,NA,NA,NA,NA,NA,,,
SX13_01,0kb+,NA,,oligotrophic,,oligotrophic,96.71,oligotrophic,Sixteen, 2013-08-07,2013,81.11536618,5.088571,3.87,77.27,2.990349,0.879651,6321.206211,805,5168,42.49528994,NA,3.87,77.27,NA,NA,NA,NA,NA,,,
SX13_11,0kb+,NA,,oligotrophic,,oligotrophic,99.23,oligotrophic,Sixteen, 2013-08-07,2013,80.98896232,5.276561,0.37,33.33,0.123321,0.246679,5015.742395,1052,5746,42.43072225,NA,0.37,33.33,NA,NA,NA,NA,NA,,,
W11_03,0kb+,NA,,nutrient.rich,,nutrient.rich,99.89,nutrient.rich,Wintergreen, 2011-08-02,2011,81.98000981,4.478998,0.29,0,0,0.29,17428.00778,257,4411,42.84940172,NA,0.29,0,NA,NA,NA,NA,NA,,,
W11_06,0kb+,NA,,nutrient.rich,,nutrient.rich,99.89,nutrient.rich,Wintergreen, 2011-08-02,2011,82.01882676,4.480325,0.37,33.33,0.123321,0.246679,18287.04082,245,4428,42.84209598,NA,0.37,33.33,NA,NA,NA,NA,NA,,,
W13_11,0kb+,NA,,nutrient.rich,,nutrient.rich,99.89,nutrient.rich,Wintergreen, 2013-08-08,2013,80.96145302,4.866322,0.73,25,0.1825,0.5475,17442.01434,279,5072,42.36798292,NA,0.73,25,NA,NA,NA,NA,NA,,,
W13_13,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.45,pseudo-oligotrophic,Wintergreen, 2013-08-08,2013,81.63271801,4.964311,0.07,0,0,0.07,8343.379832,595,5030,42.5106798,NA,0.07,0,NA,NA,NA,NA,NA,,,
W13_15,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.45,pseudo-oligotrophic,Wintergreen, 2013-08-08,2013,81.45575816,5.065443,0.07,0,0,0.07,7939.565831,638,5152,42.3783752,NA,0.07,0,NA,NA,NA,NA,NA,,,
W13_16,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.23,pseudo-oligotrophic,Wintergreen, 2013-08-08,2013,81.48239086,5.005468,0.07,0,0,0.07,8112.589951,617,5062,42.42708311,NA,0.07,0,NA,NA,NA,NA,NA,,,
W13_18,0kb+,NA,,pseudo-oligotrophic,,pseudo-oligotrophic,99.45,pseudo-oligotrophic,Wintergreen, 2013-08-08,2013,81.53953965,4.974513,0.51,0,0,0.51,8445.692699,589,4967,42.53130081,NA,0.51,0,NA,NA,NA,NA,NA,,,
