Name,Strain,Tree_Groups,Lake,Reps.Per.Lake,,Rough.Region,County,N,W,TP,TrophicStaus,ToxinGene,ToxinGene.Simple,SRP,Chl-a,Secchi,Year,Date
L111_01,L111-01,pseudo-oligotrophic,MSU1,N,(L1),-84,Ingham,42.68059,-84.4831,163.5,eutrophic,Full,Full,155.8,12.2,2.1,Year1,8/19/2011
L211_07,L211-07,nutrient-rich,MSU2,Y,(L2),-84,Ingham,42.68079,-84.4871,196.8,eutrophic,None,None.Partial,7.3,240.8,0.4,Year1,8/16/2011
L211_101,L211-101,nutrient-rich,MSU2,Y,(L2),-84,Ingham,42.68079,-84.4871,196.8,eutrophic,Full,Full,7.3,240.8,0.4,Year1,8/16/2011
L211_11,L211-11,nutrient-rich,MSU2,Y,(L2),-84,Ingham,42.68079,-84.4871,196.8,eutrophic,Full,Full,7.3,240.8,0.4,Year1,8/16/2011
L311_01,L311-01,nutrient-rich,MSU3,N,(L3),-84,Ingham,42.67928,-84.4849,128.7,eutrophic,Full,Full,4.1,53.3,0.6,Year1,8/6/2011
LE13_04,LE13-04,oligotrophic,Lee,N,(LE),-85,Calhoun,42.17991,-85.11844,9,oligotrophic,Full,Full,1.9,4,3.1,Year2,8/6/2013
LG11_05,LG11-05,nutrient-rich,Lansing,Y,(LG),-84,Ingham,42.76324,-84.405,17.1,mesotrophic,None,None.Partial,5.1,5.5,2.9,Year1,8/5/2011
LG13_02,LG13-02,nutrient-rich,Lansing,Y,(LG),-84,Ingham,42.76324,-84.405,17.1,mesotrophic,Unkown,Unkown,5.1,5.5,2.9,Year2,8/14/2013
LG13_03,LG13-03,nutrient-rich,Lansing,Y,(LG),-84,Ingham,42.76324,-84.405,17.1,mesotrophic,None,None.Partial,5.1,5.5,2.9,Year2,8/14/2013
LG13_11,LG13-11,nutrient-rich,Lansing,Y,(LG),-84,Ingham,42.76324,-84.405,17.1,mesotrophic,None,None.Partial,5.1,5.5,2.9,Year2,8/14/2013
LG13_12,LG13-12,nutrient-rich,Lansing,Y,(LG),-84,Ingham,42.76324,-84.405,17.1,mesotrophic,Partial,None.Partial,5.1,5.5,2.9,Year2,8/14/2013
LG13_13,LG13-13,nutrient-rich,Lansing,Y,(LG),-84,Ingham,42.76324,-84.405,17.1,mesotrophic,None,None.Partial,5.1,5.5,2.9,Year2,8/14/2013
LL11_07,LL11-07,oligotrophic,Little Long,Y,(LL),-85,Barry,42.41803,-85.44348,8,oligotrophic,Full,Full,1,4.1,4.6,Year1,7/12/2011
LL13_03,LL13-03,oligotrophic,Little Long,Y,(LL),-85,Barry,42.41803,-85.44348,8,oligotrophic,Full,Full,1,4.1,4.6,Year2,8/8/2013
LL13_06,LL13-06,oligotrophic,Little Long,Y,(LL),-85,Barry,42.41803,-85.44348,8,oligotrophic,Full,Full,1,4.1,4.6,Year2,8/8/2013
S11_01,S11-01,pseudo-oligotrophic,Sherman,Y,(S),-85,Kalamazoo,42.35212,-85.38545,13.7,mesotrophic,Full,Full,2.8,9.1,2.9,Year1,8/8/2011
S11_05,S11-05,pseudo-oligotrophic,Sherman,Y,(S),-85,Kalamazoo,42.35212,-85.38545,13.7,mesotrophic,Full,Full,2.8,9.1,2.9,Year1,8/8/2011
SX13_01,SX13-01,oligotrophic,Sixteen,Y,(SX),-86,Allegan,42.56518,-85.61352,8.8,oligotrophic,Full,Full,1,5,3.9,Year2,8/7/2013
SX13_11,SX13-11,oligotrophic,Sixteen,Y,(SX),-86,Allegan,42.56518,-85.61352,8.8,oligotrophic,Full,Full,1,5,3.9,Year2,8/7/2013
W11_03,W11-03,nutrient-rich,Wintergreen,Y,(W),-85,Kalamazoo,42.39757,-85.38536,47.8,eutrophic,None,None.Partial,2.7,21.4,2.4,Year1,8/2/2011
W11_06,W11-06,nutrient-rich,Wintergreen,Y,(W),-85,Kalamazoo,42.39757,-85.38536,47.8,eutrophic,None,None.Partial,2.7,21.4,2.4,Year1,8/2/2011
W13_11,W13-11,nutrient-rich,Wintergreen,Y,(W),-85,Kalamazoo,42.39757,-85.38536,47.8,eutrophic,None,None.Partial,2.7,21.4,2.4,Year2,8/8/2013
W13_13,W13-13,pseudo-oligotrophic,Wintergreen,Y,(W),-85,Kalamazoo,42.39757,-85.38536,47.8,eutrophic,Full,Full,2.7,21.4,2.4,Year2,8/8/2013
W13_15,W13-15,pseudo-oligotrophic,Wintergreen,Y,(W),-85,Kalamazoo,42.39757,-85.38536,47.8,eutrophic,Full,Full,2.7,21.4,2.4,Year2,8/8/2013
W13_16,W13-16,pseudo-oligotrophic,Wintergreen,Y,(W),-85,Kalamazoo,42.39757,-85.38536,47.8,eutrophic,Full,Full,2.7,21.4,2.4,Year2,8/8/2013
W13_18,W13-18,pseudo-oligotrophic,Wintergreen,Y,(W),-85,Kalamazoo,42.39757,-85.38536,47.8,eutrophic,Full,Full,2.7,21.4,2.4,Year2,8/8/2013
