Name,Tree_Groups,Lake+Abb,Lake,Lake.Reps,County,N,W,Trophic status,Date,Year,rmax (per day)
LL13_06,oligotrophic,Little Long ,LittleLong,Y,Barry,42.41803,-85.44348,oligotrophic, 2013-08-08,2013,
L111_01,pseudo-oligotrophic,MSU1 ,MSU1,N,Ingham,42.68059,-84.4831,eutrophic, 2011-08-19,2011,0.269343959
L211_11,nutrient-rich,MSU2 ,MSU2,Y,Ingham,42.68079,-84.4871,eutrophic, 2011-08-16,2011,0.419401596
L211_07,nutrient-rich,MSU2 ,MSU2,Y,Ingham,42.68079,-84.4871,eutrophic, 2011-08-16,2011,0.547503915
L211_101,nutrient-rich,MSU2 ,MSU2,Y,Ingham,42.68079,-84.4871,eutrophic, 2011-08-16,2011,0.218408922
L311_01,nutrient-rich,MSU3 ,MSU3,N,Ingham,42.67928,-84.4849,eutrophic, 2011-08-06,2011,0.186049469
S11_05,pseudo-oligotrophic,Sherman (S),Sherman,Y,Kalamazoo,42.35212,-85.38545,mesotrophic, 2011-08-08,2011,0.230815622
S11_01,pseudo-oligotrophic,Sherman (S),Sherman,Y,Kalamazoo,42.35212,-85.38545,mesotrophic, 2011-08-08,2011,0.193302093
SX13_11,oligotrophic,Sixteen (SX),Sixteen,Y,Allegan,42.56518,-85.61352,oligotrophic, 2013-08-07,2013,
SX13_01,oligotrophic,Sixteen (SX),Sixteen,Y,Allegan,42.56518,-85.61352,oligotrophic, 2013-08-07,2013,
W11_03,nutrient-rich,Wintergreen (W),Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic, 2011-08-02,2011,0.115261984
W13_11,nutrient-rich,Wintergreen (W),Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic, 2013-08-08,2013,
W11_06,nutrient-rich,Wintergreen (W),Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic, 2011-08-02,2011,0.489548283
W13_18,pseudo-oligotrophic,Wintergreen (W),Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic, 2013-08-08,2013,
W13_15,pseudo-oligotrophic,Wintergreen (W),Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic, 2013-08-08,2013,
W13_13,pseudo-oligotrophic,Wintergreen (W),Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic, 2013-08-08,2013,
W13_16,pseudo-oligotrophic,Wintergreen (W),Wintergreen,Y,Kalamazoo,42.39757,-85.38536,eutrophic, 2013-08-08,2013,
